yearterm,serial,dept,grade,required,name,note,teacher,category,credit,hours,language,schedule,addable,add_limit,total_limit,enrolled,syllabus_url,limit_url,limits_json,edu_type,crawl_time
1141,U3261,行政系,行政系2A|行政系2B|行政系3A|行政系3B|行政系4A|行政系4B|職涯探索及創新創業學程|公共事務數據分析學士學分學程|都市更新學分學程|調查方法與資料分析學程|職涯探索及創新創業微學程|公共事務數據分析學士微學程|都市更新微學程,選|選|選|選|選|選|選|選|選|選|選|選|選,民意調查與分析 / Public Opinion Survey and Analysis,"2年級（含）以上可選修
公共政策學群核心課程
先修科目：量化研究方法（一）：基礎統計分析。★請課務組安排第二教室資1F-08教室。",劉嘉薇,全,2.0,2,中文,每週五1~2	公1F10,否,-,45,11,,https://sea.cc.ntpu.edu.tw/pls/faculty/common.OPMS_lm.bylimit_checkshow?yearterm=1141&serial=U3261,"{""學制"": ""學士班,碩士班,博士班,進修學士班,碩士在職專班,"", ""學號"": ""單號,雙號,"", ""性別"": ""男生,女生,"", ""身份"": ""一般生,在職生,外籍生,僑生,輔系生,雙主修生,多元培力生,"", ""系所"": ""法律學系法學組,法律學系司法組,法律學系財經法組,法碩一般生組,法碩法專組,法博,(進修)法律,企管系A,企管系B,企碩,企博,(進修)企管A,(進修)企管B,企碩職,金融系,金融碩,(進修)金融,會計系A,會計系B,會碩,會博,會碩職,統計系,統碩,(進修)統計,統碩職,休運系,資訊碩,國企碩,財碩職,企軍碩職,財務金融碩士學位學程,(進修)數位行銷,行政系A,行政系B,行政碩,行政博,(進修)公政A,(進修)公政B,政碩職,財政系,財碩,(進修)財政,不動產城鄉系A,不動產城鄉系B,不動產城鄉碩,不動產城鄉博,(進修)不動產城鄉,都碩,都博,資源碩,資源博,環碩職,城市治理碩士學位學程,經濟系A,經濟系B,經碩,經博,(進修)經濟,社學系,社學碩,社碩職,社工系,社工碩,(進修)社工,犯罪學碩,犯碩職,中文系,中文碩,外語系,歷史系,歷史碩,民藝與文資所,華語學程,資工系,資工碩,通訊碩,電機碩,通訊系,電機系,智慧永續,智慧製造產碩專班,多媒體與網路科技產碩專班,電資博,財軍碩職,企軍經管碩職,智慧醫療碩士學位學程,"", ""年級"": ""2,3,4,5,6,7,""}",學士班,2025-11-05 00:38:39
1141,U3266,公共事務學院,文官人才學士學分學程|都市更新學分學程|公共事務學院3|公共事務學院4|文官人才學士微學程|都市更新微學程,選|選|選|選|選|選,淨零永續與公共治理 / Net-Zero Sustainability and Public Governance,,林晉勗|楊臻欣,半,2.0,2,中文,每週三5~6	公1F27,否,-,80,79,,,{},學士班,2025-11-05 00:38:39
1141,U3267,行政系,行政系3A|行政系3B|職涯探索及創新創業學程|勞動法與人力資源管理學分學程|職涯探索及創新創業微學程|勞動法與人力資源管理微學程,選|選|選|選|選|選,人力資源管理 / Human Resource Management,"行政管理學群核心課程 
114學年度由2年級調整為3年級 但2年級以上皆可選修。",林淑馨,全,2.0,2,中文,每週二3~4	公1F01,否,-,50,50,,https://sea.cc.ntpu.edu.tw/pls/faculty/common.OPMS_lm.bylimit_checkshow?yearterm=1141&serial=U3267,"{""學制"": ""學士班,碩士班,博士班,進修學士班,碩士在職專班,"", ""學號"": ""單號,雙號,"", ""性別"": ""男生,女生,"", ""身份"": ""一般生,在職生,外籍生,僑生,輔系生,雙主修生,多元培力生,"", ""系所"": ""法律學系法學組,法律學系司法組,法律學系財經法組,法碩一般生組,法碩法專組,法博,(進修)法律,企管系A,企管系B,企碩,企博,(進修)企管A,(進修)企管B,企碩職,金融系,金融碩,(進修)金融,會計系A,會計系B,會碩,會博,會碩職,統計系,統碩,(進修)統計,統碩職,休運系,資訊碩,國企碩,財碩職,企軍碩職,財務金融碩士學位學程,(進修)數位行銷,行政系A,行政系B,行政碩,行政博,(進修)公政A,(進修)公政B,政碩職,財政系,財碩,(進修)財政,不動產城鄉系A,不動產城鄉系B,不動產城鄉碩,不動產城鄉博,(進修)不動產城鄉,都碩,都博,資源碩,資源博,環碩職,城市治理碩士學位學程,經濟系A,經濟系B,經碩,經博,(進修)經濟,社學系,社學碩,社碩職,社工系,社工碩,(進修)社工,犯罪學碩,犯碩職,中文系,中文碩,外語系,歷史系,歷史碩,民藝與文資所,華語學程,資工系,資工碩,通訊碩,電機碩,通訊系,電機系,智慧永續,智慧製造產碩專班,多媒體與網路科技產碩專班,電資博,財軍碩職,企軍經管碩職,智慧醫療碩士學位學程,"", ""年級"": ""2,3,4,5,6,7,""}",學士班,2025-11-05 00:38:39
1141,U3273,法律學系法學組,法律學系財經法組3|法律學系財經法組4|法律學系法學組3|法律學系法學組4|法律學系司法組3|法律學系司法組4|國際外交學士學分學程|國際經貿談判與訴訟人才學,選|選|選|選|選|選|選|選,國際公法專題研究 / Seminar：Public International Law,與碩博士班合班。,王震宇,半,2.0,2,中文,每週二5~6	法2F24,否,-,20,2,,https://sea.cc.ntpu.edu.tw/pls/faculty/common.OPMS_lm.bylimit_checkshow?yearterm=1141&serial=U3273,"{""學制"": ""學士班,進修學士班,"", ""學號"": ""單號,雙號,"", ""性別"": ""男生,女生,"", ""身份"": ""一般生,在職生,外籍生,僑生,輔系生,雙主修生,多元培力生,"", ""系所"": ""法律學系法學組,法律學系司法組,法律學系財經法組,法碩一般生組,法碩法專組,法博,(進修)法律,企管系A,企管系B,企碩,企博,(進修)企管A,(進修)企管B,企碩職,金融系,金融碩,(進修)金融,會計系A,會計系B,會碩,會博,會碩職,統計系,統碩,(進修)統計,統碩職,休運系,資訊碩,國企碩,財碩職,企軍碩職,財務金融碩士學位學程,(進修)數位行銷,行政系A,行政系B,行政碩,行政博,(進修)公政A,(進修)公政B,政碩職,財政系,財碩,(進修)財政,不動產城鄉系A,不動產城鄉系B,不動產城鄉碩,不動產城鄉博,(進修)不動產城鄉,都碩,都博,資源碩,資源博,環碩職,城市治理碩士學位學程,經濟系A,經濟系B,經碩,經博,(進修)經濟,社學系,社學碩,社碩職,社工系,社工碩,(進修)社工,犯罪學碩,犯碩職,中文系,中文碩,外語系,歷史系,歷史碩,民藝與文資所,華語學程,資工系,資工碩,通訊碩,電機碩,通訊系,電機系,智慧永續,智慧製造產碩專班,多媒體與網路科技產碩專班,電資博,財軍碩職,企軍經管碩職,智慧醫療碩士學位學程,"", ""年級"": ""1,2,""}",學士班,2025-11-05 00:38:39
1141,U3275,外語系,外語系3,選,新聞編譯 / Translation for News Media,,薛迪安,半,2.0,2,中文,每週一3~4	文1F11,是,8,46,42,,,{},學士班,2025-11-05 00:38:39
1141,U3277,外語系,外語系3|日本研究學分學程|國際經貿談判與訴訟人才學|日本研究微學程,選|選|選|選,日語（２） / Japanese(2),※先修科目：日語（１）或日文一年班或初級日文（一）和初級日文（二）共修完一年,蔡明興,全,2.0,2,中文,每週五5~6	文2F12,是,6,45,26,,,{},學士班,2025-11-05 00:38:39
1141,U3278,法律學系法學組,法律學系財經法組3|法律學系財經法組4|法律學系法學組3|法律學系法學組4|法律學系司法組3|法律學系司法組4|家事法與社會工作學分學程|基礎法學與社會學士學分學程|性別與人權學士學分學程|人權與正義學士微學程|性別學士微學程|基礎法學與社會學士微學程|基礎法學學士微學程,選|選|選|選|選|選|選|選|選|選|選|選|選,性別與法律 / Gender and Law,,官曉薇,半,2.0,2,中文,每週三7~8	法2F19,否,-,50,46,,https://sea.cc.ntpu.edu.tw/pls/faculty/common.OPMS_lm.bylimit_checkshow?yearterm=1141&serial=U3278,"{""學制"": ""學士班,進修學士班,"", ""學號"": ""單號,雙號,"", ""性別"": ""男生,女生,"", ""身份"": ""一般生,在職生,外籍生,僑生,輔系生,雙主修生,多元培力生,"", ""系所"": ""法律學系法學組,法律學系司法組,法律學系財經法組,法碩一般生組,法碩法專組,法博,(進修)法律,企管系A,企管系B,企碩,企博,(進修)企管A,(進修)企管B,企碩職,金融系,金融碩,(進修)金融,會計系A,會計系B,會碩,會博,會碩職,統計系,統碩,(進修)統計,統碩職,休運系,資訊碩,國企碩,財碩職,企軍碩職,財務金融碩士學位學程,(進修)數位行銷,行政系A,行政系B,行政碩,行政博,(進修)公政A,(進修)公政B,政碩職,財政系,財碩,(進修)財政,不動產城鄉系A,不動產城鄉系B,不動產城鄉碩,不動產城鄉博,(進修)不動產城鄉,都碩,都博,資源碩,資源博,環碩職,城市治理碩士學位學程,經濟系A,經濟系B,經碩,經博,(進修)經濟,社學系,社學碩,社碩職,社工系,社工碩,(進修)社工,犯罪學碩,犯碩職,中文系,中文碩,外語系,歷史系,歷史碩,民藝與文資所,華語學程,資工系,資工碩,通訊碩,電機碩,通訊系,電機系,智慧永續,智慧製造產碩專班,多媒體與網路科技產碩專班,電資博,財軍碩職,企軍經管碩職,智慧醫療碩士學位學程,"", ""年級"": ""1,2,""}",學士班,2025-11-05 00:38:39
1141,U3279,法律學系法學組,法律學系財經法組3|法律學系財經法組4|法律學系法學組3|法律學系法學組4|法律學系司法組3|法律學系司法組4|刑事犯罪學士微學程,選|選|選|選|選|選|選,國民法官法 / Citizen Judges Act,先修科目：刑法分則。,顏榕,半,2.0,2,中文,每週五3~4	法2F01,否,-,140,34,,https://sea.cc.ntpu.edu.tw/pls/faculty/common.OPMS_lm.bylimit_checkshow?yearterm=1141&serial=U3279,"{""學制"": ""學士班,進修學士班,"", ""學號"": ""單號,雙號,"", ""性別"": ""男生,女生,"", ""身份"": ""一般生,在職生,外籍生,僑生,輔系生,雙主修生,多元培力生,"", ""系所"": ""法律學系法學組,法律學系司法組,法律學系財經法組,法碩一般生組,法碩法專組,法博,(進修)法律,企管系A,企管系B,企碩,企博,(進修)企管A,(進修)企管B,企碩職,金融系,金融碩,(進修)金融,會計系A,會計系B,會碩,會博,會碩職,統計系,統碩,(進修)統計,統碩職,休運系,資訊碩,國企碩,財碩職,企軍碩職,財務金融碩士學位學程,(進修)數位行銷,行政系A,行政系B,行政碩,行政博,(進修)公政A,(進修)公政B,政碩職,財政系,財碩,(進修)財政,不動產城鄉系A,不動產城鄉系B,不動產城鄉碩,不動產城鄉博,(進修)不動產城鄉,都碩,都博,資源碩,資源博,環碩職,城市治理碩士學位學程,經濟系A,經濟系B,經碩,經博,(進修)經濟,社學系,社學碩,社碩職,社工系,社工碩,(進修)社工,犯罪學碩,犯碩職,中文系,中文碩,外語系,歷史系,歷史碩,民藝與文資所,華語學程,資工系,資工碩,通訊碩,電機碩,通訊系,電機系,智慧永續,智慧製造產碩專班,多媒體與網路科技產碩專班,電資博,財軍碩職,企軍經管碩職,智慧醫療碩士學位學程,"", ""年級"": ""1,2,""}",學士班,2025-11-05 00:38:39
1141,U3280,法律學系法學組,法律學系財經法組3|法律學系財經法組4|法律學系法學組3|法律學系法學組4|法律學系司法組3|法律學系司法組4,選|選|選|選|必|必,強制執行法 / Compulsory Enforcement Law,先修科目：民法物權，司法組任必修科目之一。,林慶郎,半,2.0,2,中文,每週二5~6	法2F28,是,16,95,98,,https://sea.cc.ntpu.edu.tw/pls/faculty/common.OPMS_lm.bylimit_checkshow?yearterm=1141&serial=U3280,"{""學制"": ""學士班,進修學士班,"", ""學號"": ""單號,雙號,"", ""性別"": ""男生,女生,"", ""身份"": ""一般生,在職生,外籍生,僑生,輔系生,雙主修生,多元培力生,"", ""系所"": ""法律學系法學組,法律學系司法組,法律學系財經法組,法碩一般生組,法碩法專組,法博,(進修)法律,企管系A,企管系B,企碩,企博,(進修)企管A,(進修)企管B,企碩職,金融系,金融碩,(進修)金融,會計系A,會計系B,會碩,會博,會碩職,統計系,統碩,(進修)統計,統碩職,休運系,資訊碩,國企碩,財碩職,企軍碩職,財務金融碩士學位學程,(進修)數位行銷,行政系A,行政系B,行政碩,行政博,(進修)公政A,(進修)公政B,政碩職,財政系,財碩,(進修)財政,不動產城鄉系A,不動產城鄉系B,不動產城鄉碩,不動產城鄉博,(進修)不動產城鄉,都碩,都博,資源碩,資源博,環碩職,城市治理碩士學位學程,經濟系A,經濟系B,經碩,經博,(進修)經濟,社學系,社學碩,社碩職,社工系,社工碩,(進修)社工,犯罪學碩,犯碩職,中文系,中文碩,外語系,歷史系,歷史碩,民藝與文資所,華語學程,資工系,資工碩,通訊碩,電機碩,通訊系,電機系,智慧永續,智慧製造產碩專班,多媒體與網路科技產碩專班,電資博,財軍碩職,企軍經管碩職,智慧醫療碩士學位學程,"", ""年級"": ""1,2,""}",學士班,2025-11-05 00:38:39
1141,U3281,外語系,外語系3|文化與溝通外語授課學士學分學程,選|選,文學批評（二十世紀前） / Literary Criticism (before the 20th Century),麻煩安排人文3F11教室。,翁素涵,半,2.0,2,英語|English,每週五7~8	文3F11_L,否,-,46,23,,,{},學士班,2025-11-05 00:38:39
